City_ID,City,Lat,Lng,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp Celsius
94,kruisfontein,-34.0033,24.7314,57,0,4.48,ZA,1687599424,17.860000000000014
95,mount isa,-20.7333,139.5,49,69,2.57,AU,1687599425,21.019999999999982
96,bluff,-46.6,168.3333,84,41,2.03,NZ,1687599426,9.079999999999984
97,semey,50.4111,80.2275,55,75,7.0,KZ,1687599427,17.269999999999982
98,mahebourg,-20.4081,57.7,53,40,3.6,MU,1687599429,26.310000000000002
99,ust-nera,64.5667,143.2,35,18,3.3,RU,1687599430,28.089999999999975
100,khandyga,62.6667,135.6,53,5,1.22,RU,1687599430,27.649999999999977
101,port-gentil,-0.7193,8.7815,65,20,3.6,GA,1687599431,27.129999999999995
102,harper,4.375,-7.7169,83,100,4.91,LR,1687599432,25.470000000000027
103,vao,-22.6667,167.4833,68,1,5.45,NC,1687599433,20.910000000000025
104,kiunga,-6.1219,141.2906,87,100,1.04,PG,1687599434,25.160000000000025
105,tarko-sale,64.9225,77.785,50,86,1.85,RU,1687599435,10.160000000000025
106,kot kapura,30.5833,74.9,17,15,3.21,IN,1687599435,46.10000000000002
107,acurenam,1.0322,10.6488,58,76,1.2,GQ,1687599436,26.170000000000016
108,provideniya,64.3833,-173.3,83,100,1.37,RU,1687599437,9.379999999999995
109,luderitz,-26.6481,15.1594,51,0,4.14,NA,1687599438,19.95999999999998
110,hithadhoo,-0.6,73.0833,73,37,4.59,MV,1687599439,28.29000000000002
111,beberibe,-4.1797,-38.1306,86,30,4.5,BR,1687599439,23.870000000000005
112,fortuna,40.5982,-124.1573,96,100,2.06,US,1687599440,13.439999999999998
113,dutlwe,-23.9833,23.9,31,0,5.37,BW,1687599441,21.80000000000001
114,kidal,18.4411,1.4078,17,0,6.81,ML,1687599442,38.660000000000025
115,morden,49.1919,-98.1014,94,75,1.03,CA,1687599443,15.199999999999989
116,barcelos,41.5388,-8.6151,40,15,1.32,PT,1687599428,31.769999999999982
117,tura,25.5198,90.2201,72,53,3.04,IN,1687599444,30.110000000000014
118,piacabucu,-10.4056,-36.4344,79,3,2.95,BR,1687599445,24.560000000000002
119,hofn,64.2539,-15.2082,91,100,1.78,IS,1687599445,10.720000000000027
120,teahupoo,-17.8333,-149.2667,81,18,2.97,PF,1687599446,21.129999999999995
121,escanaba,45.7453,-87.0646,100,0,0.0,US,1687599447,14.319999999999993
122,bambous virieux,-20.3428,57.7575,53,40,3.6,MU,1687599447,26.29000000000002
123,novyy urengoy,66.0833,76.6333,55,100,2.32,RU,1687599166,9.740000000000009
124,gizo,-8.103,156.8419,82,91,8.39,SB,1687599449,27.939999999999998
125,saint george,37.1041,-113.5841,17,0,2.06,US,1687599449,17.899999999999977
126,torrijos,39.9819,-4.2835,32,0,4.06,ES,1687599450,29.079999999999984
127,yhu,-25.05,-55.9167,83,0,3.04,PY,1687599451,17.060000000000002
128,aviles,43.5547,-5.9248,76,0,3.09,ES,1687599249,25.019999999999982
129,coruripe,-10.1256,-36.1756,78,2,3.12,BR,1687599452,24.230000000000018
130,boende,-0.2167,20.8667,76,97,0.99,CD,1687599454,26.80000000000001
131,bethel,41.3712,-73.414,90,100,0.0,US,1687599454,20.620000000000005
132,toowoomba,-27.55,151.9667,59,22,1.74,AU,1687599224,10.850000000000023
133,kaniama,-7.5667,24.1833,23,29,2.67,CD,1687599456,30.129999999999995
134,rio gallegos,-51.6226,-69.2181,93,100,3.09,AR,1687599456,2.180000000000007
135,chekhov,55.1431,37.4711,87,100,4.92,RU,1687599457,17.120000000000005
136,padang,-0.9492,100.3543,84,67,0.59,ID,1687599457,29.180000000000007
137,souillac,-20.5167,57.5167,53,40,3.6,MU,1687599459,26.360000000000014
138,ostrovnoy,68.0531,39.5131,46,79,2.57,RU,1687599461,19.920000000000016
139,koltsovo,54.9376,83.1825,49,100,1.92,RU,1687599461,16.810000000000002
140,butaritari,3.0707,172.7902,80,96,7.87,KI,1687599462,28.779999999999973
141,darhan,49.4867,105.9228,85,100,2.39,MN,1687599463,17.019999999999982
142,tripoli,32.8752,13.1875,60,0,4.08,LY,1687599464,27.170000000000016
143,lata,40.1629,-8.3327,25,2,0.4,PT,1687599466,25.600000000000023
144,porto novo,6.4965,2.6036,80,100,5.05,BJ,1687599467,25.05000000000001
145,te anau,-45.4167,167.7167,88,95,0.57,NZ,1687599468,7.319999999999993
146,umm kaddadah,13.6017,26.6876,35,23,5.67,SD,1687599469,32.81999999999999
147,rabo de peixe,37.8,-25.5833,94,20,4.63,PT,1687599470,19.879999999999995
148,nome,64.5011,-165.4064,94,100,2.06,US,1687599472,13.189999999999998
149,henties bay,-22.116,14.2845,75,71,2.62,NA,1687599472,15.629999999999995
150,east london,-33.0153,27.9116,68,0,6.17,ZA,1687599473,18.670000000000016
151,lodja,-3.4833,23.4333,52,90,1.25,CD,1687599474,30.379999999999995
152,vestmanna,62.1564,-7.1664,94,75,3.6,FO,1687599474,12.660000000000025
153,ampanihy,-24.7,44.75,32,1,4.99,MG,1687599475,21.839999999999975
154,emerald,-23.5333,148.1667,52,49,2.61,AU,1687599475,22.899999999999977
155,qaqortoq,60.7167,-46.0333,89,53,1.15,GL,1687599476,3.0299999999999727
156,cherskiy,68.75,161.3,51,44,2.27,RU,1687599478,14.529999999999973
157,oktyabrskoye,43.0645,44.7417,39,40,2.0,RU,1687599479,25.230000000000018
158,vila franca do campo,37.7167,-25.4333,80,8,2.21,PT,1687599479,20.379999999999995
159,fort nelson,58.8053,-122.7002,67,75,5.14,CA,1687599480,16.920000000000016
160,kilindoni,-7.9139,39.6668,68,18,7.83,TZ,1687599481,25.350000000000023
161,vila velha,-20.3297,-40.2925,95,75,1.54,BR,1687599482,20.120000000000005
162,sangar,63.9242,127.4739,67,24,2.7,RU,1687599483,23.19999999999999
163,lesnoye,58.2841,35.5158,69,100,0.44,RU,1687599484,20.04000000000002
164,ponta delgada,37.7333,-25.6667,94,20,4.63,PT,1687599484,20.55000000000001
165,erzurum,40.0,41.5,42,13,1.64,TR,1687599486,17.970000000000027
166,torbay,47.6666,-52.7314,83,0,11.32,CA,1687599313,16.75
167,norman wells,65.282,-126.8329,93,40,2.57,CA,1687599382,6.170000000000016
168,guerrero negro,27.9769,-114.0611,87,51,7.66,MX,1687599493,16.430000000000007
169,hambantota,6.1241,81.1185,52,20,7.72,LK,1687599494,35.339999999999975
170,ozark,37.0209,-93.206,91,0,1.84,US,1687599496,22.399999999999977
171,coquimbo,-29.9533,-71.3436,51,0,3.09,CL,1687599497,18.0
172,caldas novas,-17.7417,-48.625,66,100,1.38,BR,1687599485,13.839999999999975
173,volchansk,59.9378,60.081,38,100,2.96,RU,1687599499,17.579999999999984
174,lavrentiya,65.5833,-171.0,92,100,1.14,RU,1687599500,7.3799999999999955
175,noyabrsk,63.1994,75.4507,95,100,5.51,RU,1687599500,4.720000000000027
176,tapiramuta,-11.8472,-40.7914,96,55,0.98,BR,1687599501,13.870000000000005
177,nantucket,41.2835,-70.0995,100,100,2.57,US,1687599502,21.230000000000018
178,batagay,67.6333,134.6333,38,70,4.87,RU,1687599503,26.870000000000005
179,vostok,46.4856,135.8833,73,100,1.6,RU,1687599503,19.310000000000002
180,yershov,51.3513,48.2766,42,85,5.31,RU,1687599504,22.50999999999999
181,buraydah,26.326,43.975,6,0,5.35,SA,1687599505,43.39999999999998
182,golden,39.7555,-105.2211,33,0,5.14,US,1687599505,17.5
183,severo-kurilsk,50.6789,156.125,86,17,6.44,RU,1687599506,8.930000000000007
184,sorland,67.667,12.6934,93,100,5.89,NO,1687599507,9.069999999999993
185,esil,51.9556,66.4042,33,100,1.21,KZ,1687599507,19.160000000000025
186,thompson,55.7435,-97.8558,87,0,1.03,CA,1687599509,7.240000000000009
